,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
PGR,11,"(10, 20]",0.02916554585018823,PGR,322.02157083903705,298783.0,290.0,140.87396287220471,51.0,1494.0,226.0,382.0
BRCA1,10,"(5, 10]",0.006729838984110514,BRCA1,326.39145839458985,68020.0,289.0,215.07332653340887,79.0,1499.0,170.0,399.0
NR2F2,10,"(5, 10]",0.027162779824350468,NR2F2,314.0820960392569,285300.0,302.0,153.48273259452813,120.0,1499.0,205.0,369.0
NOTCH1,10,"(5, 10]",0.008326792737647701,NOTCH1,333.293176247907,82418.0,284.0,184.3212297803705,95.0,1499.0,203.0,406.0
HDAC2,10,"(5, 10]",0.02923201412696523,HDAC2,268.39590645065226,359297.0,237.0,132.69661354353283,92.0,1499.0,175.0,325.0
CDK9,10,"(5, 10]",0.015233421520649191,CDK9,299.6161500533605,167727.0,253.0,157.2120522275175,131.0,1499.0,192.0,356.0
NIPBL,10,"(5, 10]",0.011951167614967482,NIPBL,369.8450389771203,106601.0,315.0,202.80412275485773,109.0,1498.0,230.0,449.0
CREBBP,10,"(5, 10]",0.023003317025065945,CREBBP,254.5490894575656,298119.0,218.0,159.7292798747123,81.0,1498.0,138.0,323.0
JUNB,10,"(5, 10]",0.023380543206489388,JUNB,325.04543366583647,237291.0,276.0,185.99288198188435,108.0,1499.0,195.0,399.0
CDK8,10,"(5, 10]",0.015007564030059314,CDK8,241.63165164256466,204893.0,183.0,204.49665567412117,51.0,1498.0,93.0,315.0
PPARG,10,"(5, 10]",0.012649251091192014,PPARG,278.4052240050706,149885.0,229.0,159.51368681921392,51.0,1497.0,171.0,331.0
FLI1,10,"(5, 10]",0.020106576275266595,FLI1,292.72026672786166,226598.0,268.0,117.3062530607079,123.0,1494.0,215.0,341.0
IRF4,10,"(5, 10]",0.014776042550963882,IRF4,276.4301592972547,176337.0,240.0,157.66294559919942,84.0,1499.0,177.0,340.0
FOXA2,10,"(5, 10]",0.03812115043883822,FOXA2,326.5381277815572,385126.0,300.0,137.3109738776941,97.0,1499.0,237.0,379.0
KLF4,10,"(5, 10]",0.014311857701164754,KLF4,327.03618530422256,144368.0,230.0,249.2155370423455,112.0,1499.0,158.0,405.0
GATA4,10,"(5, 10]",0.026940477142066967,GATA4,347.60639483719564,255675.0,320.0,139.0422373582411,131.0,1494.0,251.0,411.0
MEN1,10,"(5, 10]",0.007515204871805401,MEN1,430.1328984350602,57638.0,360.0,216.4969892890428,161.0,1499.0,287.0,511.0
YAP1,10,"(5, 10]",0.0036567228144561556,YAP1,271.3516060824186,44456.0,241.0,133.0405391772263,117.0,1326.0,175.0,322.0
ETV1,10,"(5, 10]",0.006782258993116501,ETV1,212.30193190875622,105388.0,183.0,123.7161056758402,72.0,1389.0,123.0,264.0
FOSL1,10,"(5, 10]",0.010468186587266478,FOSL1,291.83922218184586,118331.0,261.0,135.05327118456427,122.0,1488.0,200.0,348.0
ARID1A,9,"(5, 10]",0.03469924685734166,ARID1A,422.71117692458245,270799.0,380.0,206.4353354246308,121.0,1499.0,269.0,530.0
ZNF274,9,"(5, 10]",0.00749115997503058,ZNF274,428.61539795688293,57657.0,307.0,304.21365326087977,149.0,1499.0,210.0,549.0
FOSL2,9,"(5, 10]",0.014838912671810407,FOSL2,258.5402422085021,189341.0,235.0,111.45021067411047,112.0,1493.0,184.0,302.0
ZFX,9,"(5, 10]",0.016306860258465415,ZFX,515.5731071497029,104340.0,443.0,257.2341218647451,115.0,1499.0,325.0,644.0
STAT1,9,"(5, 10]",0.018409176073393617,STAT1,301.0486989971695,201729.0,253.0,174.86715684522827,110.0,1499.0,187.0,366.0
JARID2,9,"(5, 10]",0.007334088495020938,JARID2,383.9423797130887,63016.0,297.0,222.89049568448198,195.0,1499.0,228.0,459.0
CHD1,9,"(5, 10]",0.012953385600128191,CHD1,311.7491537294269,137072.0,256.0,185.15349627165904,114.0,1499.0,190.0,377.0
BCL11A,9,"(5, 10]",0.010172431204381707,BCL11A,163.37378654956524,205406.0,124.0,126.78509405125553,53.0,1491.0,78.0,199.0
TBP,9,"(5, 10]",0.010280866347021772,TBP,249.32862351868732,136028.0,214.0,125.45868762995455,106.0,1460.0,170.0,295.0
RFX5,9,"(5, 10]",0.003298150358516589,RFX5,216.23952619445106,50316.0,187.0,103.74494933814029,109.0,1262.0,141.0,262.0
CEBPA,9,"(5, 10]",0.02014907089087481,CEBPA,221.0656279100705,300680.0,204.0,96.21517832716276,92.0,1485.0,149.0,266.0
SMARCB1,8,"(5, 10]",0.02655801862959753,SMARCB1,387.1813967465519,226283.0,342.0,175.87728508160347,169.0,1499.0,264.0,470.0
KDM5B,8,"(5, 10]",0.013762869742115606,KDM5B,249.2041110928152,182190.0,193.0,160.22230761766798,102.0,1499.0,145.0,292.0
NFE2L2,8,"(5, 10]",0.00860294286923008,NFE2L2,235.8014240966458,120357.0,204.0,119.57512704423247,115.0,1493.0,153.0,278.0
SRF,8,"(5, 10]",0.004203854707055238,SRF,207.96501462097922,66685.0,188.0,101.52413378972503,92.0,1488.0,142.0,244.0
GRHL2,8,"(5, 10]",0.011339444428027921,GRHL2,262.3729966684201,142575.0,237.0,109.82392045444507,112.0,1490.0,188.0,306.0
MXI1,8,"(5, 10]",0.007526299135402658,MXI1,270.1344655757681,91912.0,217.0,167.26339603287406,112.0,1499.0,156.0,325.0
SMC1,8,"(5, 10]",0.01847721032098248,SMC1,345.716687273841,176314.0,303.0,183.19902337047958,122.0,1499.0,216.0,426.0
ATF3,8,"(5, 10]",0.016933628405400036,ATF3,261.38684515899604,213716.0,240.0,130.5724754598571,99.0,1486.0,165.0,325.0
ZBTB33,8,"(5, 10]",0.015891987423337386,ZBTB33,381.4151049093502,137452.0,329.0,201.82077727149732,108.0,1499.0,253.0,449.0
USF2,8,"(5, 10]",0.00673156167325566,USF2,221.9595398254855,100049.0,202.0,91.30158165301674,110.0,1467.0,163.0,256.0
USF1,8,"(5, 10]",0.007214514225508325,USF1,178.81462670643657,133099.0,165.0,65.41080623253559,91.0,1499.0,136.0,202.0
ATF4,8,"(5, 10]",0.0062304773857897395,ATF4,315.5956362184655,65127.0,295.0,115.36227278767844,127.0,1491.0,238.0,365.0
MAZ,8,"(5, 10]",0.010518676869174454,MAZ,261.9218314802654,132483.0,212.0,160.86319620612844,100.0,1496.0,150.0,321.0
WDR5,8,"(5, 10]",0.005818037170825319,WDR5,467.7273790666504,41035.0,404.0,249.4193608672251,117.0,1499.0,295.0,572.0
ZEB1,8,"(5, 10]",0.010664183627456754,ZEB1,318.38729354269424,110495.0,264.0,202.97970182975627,112.0,1498.0,168.0,398.0
E2F4,8,"(5, 10]",0.004262039040675707,E2F4,257.2611201580883,54653.0,201.0,152.06159843337394,121.0,1481.0,148.0,313.0
TRIM28,8,"(5, 10]",0.016244434829678706,TRIM28,309.26938525820077,173276.0,276.0,140.14284798863338,86.0,1499.0,217.0,366.0
FOXP1,8,"(5, 10]",0.011992841050759722,FOXP1,248.06460674157304,159488.0,209.0,139.76600017186527,106.0,1499.0,149.0,303.0
VDR,8,"(5, 10]",0.012001742773342226,VDR,322.65254665471434,122710.0,283.0,160.21471501638942,128.0,1499.0,207.0,389.0
BACH1,8,"(5, 10]",0.0054692767375743405,BACH1,306.2438556589042,58916.0,251.0,179.86764054581107,121.0,1498.0,196.0,351.0
ELK1,7,"(5, 10]",0.0011010505681069592,ELK1,286.36620939766635,12684.0,266.0,131.54478428803395,112.0,1422.0,199.75,337.0
EPAS1,7,"(5, 10]",0.002499738654749264,EPAS1,319.0597384508241,25846.0,290.0,158.7957536644048,51.0,1442.0,204.0,384.0
